StoreID,StoreName,City,Zone,Pincode,StoreType,OpeningDate,OperatingHours,ManagerName,ContactNumber,Latitude,Longitude,Status,DailyOrderCapacity
STORE001,Instamart Rohini Hub,Delhi NCR,Rohini,43321,Dark Store - Standard,04-06-2026,06:00 AM - 02:00 AM,Pahal Balay,9841343677,28.754213,77.102967,Active,2174
STORE002,Instamart Guntur Hub,Andhra Pradesh,Guntur,133890,Dark Store - Standard,06-12-2025,06:00 AM - 02:00 AM,Oni Kannan,9872858495,17.564911,83.284853,Active,1408
STORE003,Instamart Koramangala Hub,Bangalore,Koramangala,940265,Dark Store - Mega Hub,22-09-2024,06:00 AM - 02:00 AM,Tanveer Nayar,9868570552,13.064622,77.739072,Active,2143
STORE004,Instamart Secunderabad Hub,Hyderabad,Secunderabad,161559,Dark Store - Mega Hub,01-09-2024,06:00 AM - 02:00 AM,Tripti Yadav,9882254945,17.239953,78.57976,Active,1963
STORE005,Instamart Vizag (Visakhapatnam) Hub,Andhra Pradesh,Vizag (Visakhapatnam),618495,Dark Store - Standard,31-12-2025,06:00 AM - 02:00 AM,Ekaraj Bath,9843706494,17.752469,83.164226,Active,1001
STORE006,Instamart New Town Hub,Kolkata,New Town,413164,Dark Store - Express,22-06-2025,06:00 AM - 02:00 AM,Nicholas Prabhakar,9879385631,22.468536,88.329742,Active,993
STORE007,Instamart Madhapur Hub,Hyderabad,Madhapur,341928,Dark Store - Mega Hub,02-08-2024,06:00 AM - 02:00 AM,Turvi Raghavan,9867835763,17.375237,78.54142,Active,512
STORE008,Instamart Hauz Khas Hub,Delhi NCR,Hauz Khas,835030,Dark Store - Express,20-11-2024,06:00 AM - 02:00 AM,Amrita Bhatti,9812449485,28.695056,77.307291,Active,2399
STORE009,Instamart Saket Hub,Delhi NCR,Saket,953767,Dark Store - Standard,25-02-2024,06:00 AM - 02:00 AM,Liam Koshy,9852414824,28.572613,77.09893,Temporarily Closed,1937
STORE010,Instamart Kondapur Hub,Hyderabad,Kondapur,969653,Dark Store - Standard,18-02-2024,06:00 AM - 02:00 AM,Gavin Batta,9815668608,17.319432,78.370389,Active,2373
STORE011,Instamart Powai Hub,Mumbai,Powai,226916,Dark Store - Standard,02-03-2025,06:00 AM - 02:00 AM,Zayan Apte,9836921979,19.188196,72.920191,Active,818
STORE012,Instamart Gachibowli Hub,Hyderabad,Gachibowli,845146,Dark Store - Standard,20-03-2024,06:00 AM - 02:00 AM,Aarush Lall,9817749026,17.339629,78.606497,Active,1201
STORE013,Instamart Whitefield Hub,Bangalore,Whitefield,814893,Dark Store - Standard,12-03-2024,06:00 AM - 02:00 AM,Neel Zacharia,9889086840,12.858942,77.51692,Temporarily Closed,1414
STORE014,Instamart Vijayawada Hub,Andhra Pradesh,Vijayawada,957015,Dark Store - Mega Hub,07-11-2024,06:00 AM - 02:00 AM,Dalbir Khosla,9874142411,17.723609,83.282163,Active,907
STORE015,Instamart Viman Nagar Hub,Pune,Viman Nagar,171822,Dark Store - Standard,08-05-2026,06:00 AM - 02:00 AM,Noah Lanka,9876248261,18.428148,73.822292,Active,2368
STORE016,Instamart Malad Hub,Mumbai,Malad,383465,Dark Store - Express,29-05-2025,06:00 AM - 02:00 AM,Jai Kota,9853865769,19.153972,72.893155,Active,1436
STORE017,Instamart Connaught Place Hub,Delhi NCR,Connaught Place,150983,Dark Store - Standard,18-01-2026,06:00 AM - 02:00 AM,Abhimanyu Bobal,9879479534,28.650426,77.212411,Temporarily Closed,2278
STORE018,Instamart Vizag (Visakhapatnam) Hub,Andhra Pradesh,Vizag (Visakhapatnam),310518,Dark Store - Standard,22-07-2024,06:00 AM - 02:00 AM,Vedika Kala,9823032579,17.734139,83.11888,Active,2059
