OfferID,OrderID,OfferName,OfferType,DiscountAmount,SalesGenerated,RedemptionRate,ROI,OfferDate,Status
OFFER00001,ORD000001,â‚¹25 Cashback,Cashback,100.76,225.1,39.1,4.22,02-02-2026 08:50,Expired
OFFER00002,ORD000002,Flat 20% Off,Discount,237.46,1592.82,49.8,4.88,21-01-2026 05:19,Active
OFFER00003,ORD000003,â‚¹25 Cashback,Cashback,70.46,2447.26,36.3,2.34,07-02-2026 12:02,Expired
OFFER00004,ORD000004,10% Off using SBI Cards,Bank Offer,116.46,573.02,51.4,3.96,07-02-2026 19:41,Active
OFFER00005,ORD000007,â‚¹100 Off on ICICI Cards,Bank Offer,99.23,1797.68,72.3,4.98,30-05-2026 21:08,Active
OFFER00006,ORD000008,10% Off using SBI Cards,Bank Offer,137.06,282.66,33.5,1.59,04-05-2026 06:37,Active
OFFER00007,ORD000010,Flat 25% Off,Discount,171.43,1867.29,60.4,4.97,30-01-2026 08:28,Active
OFFER00008,ORD000011,Get â‚¹100 Cashback on next order,Cashback,234.09,626.09,74.2,1.94,13-03-2026 01:13,Active
OFFER00009,ORD000012,Free Delivery - Prime Member,Free Delivery,234.66,235.63,43.9,1.92,19-03-2026 21:50,Upcoming
OFFER00010,ORD000013,Get â‚¹50 Cashback,Cashback,170.46,1400.52,72.1,1.51,19-03-2026 04:27,Expired
OFFER00011,ORD000014,Free Delivery on orders above â‚¹299,Free Delivery,11.21,2284.57,49.4,2.48,17-02-2026 08:36,Active
OFFER00012,ORD000019,Free Delivery on orders above â‚¹199,Free Delivery,92.47,775.52,51.1,3.71,18-04-2026 04:39,Active
OFFER00013,ORD000021,Get â‚¹100 Cashback on next order,Cashback,232.37,1596.64,51,2.01,02-04-2026 05:44,Expired
OFFER00014,ORD000022,Buy 2 Get 1 Free,Buy 1 Get 1,193.44,1720.47,29.5,2.11,13-03-2026 06:08,Active
OFFER00015,ORD000023,Flat 10% Off,Discount,133.06,1186.78,53.1,1.63,22-06-2026 09:18,Expired
OFFER00016,ORD000025,Free Delivery - Prime Member,Free Delivery,177.86,2356.56,46.9,1.96,16-05-2026 11:56,Active
OFFER00017,ORD000026,Get â‚¹50 Cashback,Cashback,211.28,163.41,50.3,3.59,31-03-2026 04:19,Expired
OFFER00018,ORD000027,â‚¹100 Off on ICICI Cards,Bank Offer,68.1,1829.46,37.2,2.64,19-02-2026 02:46,Active
OFFER00019,ORD000029,Flat 10% Off,Discount,98,1481.05,57.1,4.62,16-07-2026 02:23,Active
OFFER00020,ORD000032,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,148.12,512.01,34.1,2.42,19-02-2026 12:24,Active
OFFER00021,ORD000033,Flat 20% Off,Discount,60.95,1906.49,73.5,4.74,09-03-2026 21:12,Expired
OFFER00022,ORD000034,Get â‚¹100 Cashback on next order,Cashback,28.54,1060.54,27.9,4.02,10-05-2026 10:30,Active
OFFER00023,ORD000035,Buy 2 Get 1 Free,Buy 1 Get 1,196.57,761.13,59.9,4.44,21-06-2026 00:37,Active
OFFER00024,ORD000036,Free Delivery on orders above â‚¹199,Free Delivery,218.56,800.31,68.6,2.58,02-07-2026 01:16,Active
OFFER00025,ORD000037,Free Delivery on orders above â‚¹199,Free Delivery,237.99,2390.82,56.1,2,06-05-2026 08:04,Active
OFFER00026,ORD000040,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,199.12,902.17,65.4,4.24,22-03-2026 12:56,Active
OFFER00027,ORD000042,Buy 2 Get 1 Free,Buy 1 Get 1,188.37,1543.53,40.5,4.79,18-03-2026 06:38,Expired
OFFER00028,ORD000043,Get â‚¹50 Cashback,Cashback,201.45,1639.53,69.6,3.67,31-03-2026 12:38,Active
OFFER00029,ORD000048,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,236.2,97,26,3.72,10-07-2026 06:14,Active
OFFER00030,ORD000049,Free Delivery on orders above â‚¹199,Free Delivery,118.8,382.07,65.6,2.12,07-06-2026 21:40,Active
OFFER00031,ORD000051,Free Delivery on orders above â‚¹199,Free Delivery,119.62,678.98,73.7,4.06,07-04-2026 22:32,Active
OFFER00032,ORD000052,Flat 5% Off,Discount,41.12,818.21,66.4,2.9,07-07-2026 06:18,Active
OFFER00033,ORD000053,â‚¹100 Off on ICICI Cards,Bank Offer,209.15,2423.18,54,3.65,29-06-2026 10:19,Active
OFFER00034,ORD000054,Free Delivery on orders above â‚¹299,Free Delivery,191.6,619.88,64.5,1.95,13-02-2026 19:56,Active
OFFER00035,ORD000055,Free Delivery on orders above â‚¹299,Free Delivery,129.3,2045.02,56.7,3.1,12-06-2026 21:35,Active
OFFER00036,ORD000056,Free Delivery on orders above â‚¹199,Free Delivery,32.02,294.78,69.5,4.18,20-04-2026 13:03,Active
OFFER00037,ORD000057,20% Cashback (Max â‚¹75),Cashback,187.74,691.27,42,2.28,22-02-2026 11:06,Active
OFFER00038,ORD000061,10% Off using SBI Cards,Bank Offer,147.76,945.88,37,2.52,27-01-2026 05:44,Active
OFFER00039,ORD000063,â‚¹100 Off on ICICI Cards,Bank Offer,50.93,1070.69,65.7,2.16,26-01-2026 21:20,Active
OFFER00040,ORD000064,Flat 5% Off,Discount,188.84,1543.89,52.8,3.47,07-05-2026 01:44,Active
OFFER00041,ORD000065,Free Delivery on orders above â‚¹199,Free Delivery,157.92,1062.64,53.3,2.02,20-03-2026 05:11,Expired
OFFER00042,ORD000067,Free Delivery - Prime Member,Free Delivery,180.21,868.28,28.2,1.92,11-07-2026 05:49,Active
OFFER00043,ORD000068,Free Delivery - Prime Member,Free Delivery,194.84,1548.98,58.5,3.45,26-05-2026 20:58,Active
OFFER00044,ORD000069,5% Cashback on Axis Cards,Bank Offer,145.49,1920.88,48.7,4.7,01-02-2026 10:51,Active
OFFER00045,ORD000070,â‚¹100 Off on ICICI Cards,Bank Offer,31.82,1348.92,58.8,3.11,06-04-2026 04:40,Expired
OFFER00046,ORD000072,Buy 2 Get 1 Free,Buy 1 Get 1,150.52,2007.17,65.3,3.07,12-02-2026 06:51,Active
OFFER00047,ORD000073,10% Off using SBI Cards,Bank Offer,128.94,455.77,37.3,3.12,07-07-2026 08:47,Expired
OFFER00048,ORD000074,Free Delivery on orders above â‚¹199,Free Delivery,102,730.26,42.9,2.21,29-04-2026 10:08,Active
OFFER00049,ORD000076,â‚¹25 Cashback,Cashback,17.67,1114.84,42.3,3.14,26-02-2026 04:20,Active
OFFER00050,ORD000077,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,150.87,828.57,25.5,1.83,04-07-2026 19:51,Expired
OFFER00051,ORD000079,Flat 5% Off,Discount,119.04,2251.67,49.6,2.38,03-02-2026 11:51,Active
OFFER00052,ORD000084,Free Delivery on orders above â‚¹199,Free Delivery,225.09,1482.19,61.5,3.59,20-05-2026 22:20,Active
OFFER00053,ORD000085,20% Cashback (Max â‚¹75),Cashback,65.1,571.28,59,3.9,12-06-2026 20:59,Expired
OFFER00054,ORD000088,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,169.34,1279.71,60,1.55,11-06-2026 10:42,Active
OFFER00055,ORD000089,â‚¹100 Off on ICICI Cards,Bank Offer,33.94,397.94,52.5,4.87,28-01-2026 21:06,Active
OFFER00056,ORD000091,BOGO on Beverages,Buy 1 Get 1,145.68,1849.86,50.1,3.02,16-06-2026 20:16,Expired
OFFER00057,ORD000092,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,149.94,2044.88,59.6,1.59,13-06-2026 03:48,Active
OFFER00058,ORD000094,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,86.96,211.12,66.2,3.65,29-06-2026 04:58,Expired
OFFER00059,ORD000098,20% Cashback (Max â‚¹75),Cashback,51.6,336.18,49.6,3.45,03-03-2026 21:38,Active
OFFER00060,ORD000100,BOGO on Beverages,Buy 1 Get 1,212.03,1799.66,73,4.64,16-07-2026 06:05,Expired
OFFER00061,ORD000101,â‚¹25 Cashback,Cashback,74.46,1528.94,69.5,4.76,10-07-2026 00:24,Expired
OFFER00062,ORD000103,â‚¹25 Cashback,Cashback,144.76,2069.96,51.3,2.9,11-07-2026 10:07,Active
OFFER00063,ORD000106,Flat 10% Off,Discount,248.87,995.07,35.3,4.76,19-05-2026 00:23,Active
OFFER00064,ORD000107,Get â‚¹50 Cashback,Cashback,70.41,1030.76,28.6,4.2,25-04-2026 04:17,Upcoming
OFFER00065,ORD000108,Flat 15% Off,Discount,107.34,2183.03,38.5,4.23,05-04-2026 07:37,Expired
OFFER00066,ORD000109,Buy 2 Get 1 Free,Buy 1 Get 1,155.48,295.99,52.9,1.64,10-06-2026 05:06,Expired
OFFER00067,ORD000110,Flat 5% Off,Discount,42.83,1241.37,69.6,2.44,14-05-2026 00:35,Upcoming
OFFER00068,ORD000111,Flat 5% Off,Discount,207.48,1442.16,35.4,4.65,10-06-2026 09:52,Active
OFFER00069,ORD000113,BOGO on Beverages,Buy 1 Get 1,14.34,1555.48,50.4,2.72,16-07-2026 04:14,Active
OFFER00070,ORD000114,Free Delivery on orders above â‚¹199,Free Delivery,91.52,1908.77,25.3,4.93,30-03-2026 05:55,Expired
OFFER00071,ORD000116,â‚¹25 Cashback,Cashback,173.01,1560.85,70.9,4.76,19-03-2026 02:48,Active
OFFER00072,ORD000118,10% Off using SBI Cards,Bank Offer,40.29,1116.9,59.9,4.04,08-06-2026 07:10,Active
OFFER00073,ORD000119,â‚¹25 Cashback,Cashback,229.06,1169.61,46.1,4.46,19-02-2026 01:18,Active
OFFER00074,ORD000120,5% Cashback on Axis Cards,Bank Offer,47.76,502.77,70.2,3.06,18-04-2026 21:27,Active
OFFER00075,ORD000122,Flat 20% Off,Discount,154.67,824.63,45.4,2.42,26-04-2026 20:01,Active
OFFER00076,ORD000127,Flat 5% Off,Discount,233.38,312.78,61.3,2.19,13-02-2026 04:20,Active
OFFER00077,ORD000128,Get â‚¹50 Cashback,Cashback,123.39,1286.87,71.4,2.53,29-03-2026 13:24,Active
OFFER00078,ORD000129,5% Cashback on Axis Cards,Bank Offer,52.54,1578.52,73.8,3.67,02-07-2026 09:48,Active
OFFER00079,ORD000131,Free Delivery on orders above â‚¹199,Free Delivery,243.22,502.49,50,2.54,21-02-2026 00:06,Active
OFFER00080,ORD000132,10% Off using SBI Cards,Bank Offer,167.1,1627.65,64.1,2.9,21-03-2026 07:53,Active
OFFER00081,ORD000133,Get â‚¹50 Cashback,Cashback,221.95,1060.45,61.7,1.72,22-02-2026 04:09,Active
OFFER00082,ORD000134,Flat 5% Off,Discount,113.37,1578.03,43.6,1.96,13-02-2026 04:49,Active
OFFER00083,ORD000138,â‚¹25 Cashback,Cashback,215.32,671.33,27.4,1.97,20-02-2026 06:01,Expired
OFFER00084,ORD000140,Flat 10% Off,Discount,47.5,244.69,40.7,3.53,24-01-2026 09:24,Active
OFFER00085,ORD000141,Flat 20% Off,Discount,181.68,1115.81,68.6,2.47,11-07-2026 08:08,Active
OFFER00086,ORD000142,20% Cashback (Max â‚¹75),Cashback,50.34,890.36,37.5,3.97,14-06-2026 04:08,Active
OFFER00087,ORD000144,â‚¹25 Cashback,Cashback,167.12,1003.67,59.9,4.11,18-02-2026 00:13,Expired
OFFER00088,ORD000145,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,30.39,1899.81,51.2,2.69,06-03-2026 07:20,Active
OFFER00089,ORD000146,Free Delivery on orders above â‚¹299,Free Delivery,26.38,1779.48,35,2.21,01-05-2026 20:02,Active
OFFER00090,ORD000148,Buy 2 Get 1 Free,Buy 1 Get 1,245.49,557.3,47.5,3.11,16-06-2026 09:09,Active
OFFER00091,ORD000151,Get â‚¹50 Cashback,Cashback,194.91,1471.07,34.8,4.15,30-05-2026 07:15,Expired
OFFER00092,ORD000153,Get â‚¹100 Cashback on next order,Cashback,220.97,2040.71,38.9,2.86,14-02-2026 20:09,Upcoming
OFFER00093,ORD000154,Free Delivery on orders above â‚¹199,Free Delivery,11.5,567.52,65.5,4.51,09-05-2026 13:22,Active
OFFER00094,ORD000155,â‚¹100 Off on ICICI Cards,Bank Offer,100.66,1992.2,44.7,2.57,14-05-2026 20:37,Expired
OFFER00095,ORD000156,â‚¹25 Cashback,Cashback,223.45,231.36,34.5,3.71,13-06-2026 03:33,Expired
