OrderItemID,OrderID,ProductID,ProductName,Category,Quantity,PricePerUnit,ItemTotal
ITEM000001,ORD000001,PROD00686,Pears Sanitizer 1pc,Personal Care,1,64.87,64.87
ITEM000002,ORD000001,PROD00524,Windsor Fresh Rusk 250g,Bakery & Bread,2,8.93,17.86
ITEM000003,ORD000001,PROD00253,Whiskas Organic Pet Accessories 1pc,Pet Care,1,38.32,38.32
ITEM000004,ORD000001,PROD00906,Drools Organic Pet Food 2kg,Pet Care,3,16.45,49.34
ITEM000005,ORD000001,PROD00621,Nestle Fresh Baby Food 500g,Baby Care,1,42.6,42.6
ITEM000006,ORD000001,PROD00398,Rin Detergent 250g,Household,2,6.06,12.12
ITEM000007,ORD000002,PROD00320,Patanjali Fresh Shampoo 10pcs,Personal Care,1,501.33,501.33
ITEM000008,ORD000002,PROD00040,Rin Premium Air Fresheners 10pcs,Household,2,574.49,1148.98
ITEM000009,ORD000003,PROD00194,Mother Dairy Premium Butter 1kg,Dairy & Eggs,1,627.61,627.61
ITEM000010,ORD000003,PROD00940,Milky Mist Fresh Eggs 250ml,Dairy & Eggs,1,243.67,243.67
ITEM000011,ORD000003,PROD00655,Red Bull Organic Health Drinks 1L,Beverages,1,554.88,554.88
ITEM000012,ORD000003,PROD00888,Good Knight Fresh Cleaning Supplies 100ml,Household,2,75.57,151.14
ITEM000013,ORD000003,PROD00988,Nescafe Organic Juices 2L,Beverages,1,526.12,526.12
ITEM000014,ORD000003,PROD00027,English Oven Cakes 200g,Bakery & Bread,3,114.61,343.83
ITEM000015,ORD000004,PROD00632,Tropicana Fresh Soft Drinks 1L,Beverages,2,286.51,573.02
ITEM000016,ORD000005,PROD00953,Dhara Organic Pickles 6pcs,Oil & Masalas,1,558.77,558.77
ITEM000017,ORD000005,PROD00234,Whiskas Fresh Pet Food 200g,Pet Care,1,401.67,401.67
ITEM000018,ORD000005,PROD00818,Head & Shoulders Organic Shampoo 1L,Personal Care,3,104.69,314.08
ITEM000019,ORD000005,PROD00081,Windsor Fresh Rusk 12pcs,Bakery & Bread,1,51.41,51.41
ITEM000020,ORD000006,PROD00089,Patanjali Premium Skincare 500g,Personal Care,1,112.04,112.04
ITEM000021,ORD000006,PROD00650,Heritage Eggs 500g,Dairy & Eggs,1,774.16,774.16
ITEM000022,ORD000007,PROD00705,Harvest Gold Fresh Buns 6pcs,Bakery & Bread,1,139.44,139.44
ITEM000023,ORD000007,PROD00876,Catch Masalas 2kg,Oil & Masalas,2,416.34,832.68
ITEM000024,ORD000007,PROD00273,Nescafe Premium Tea 250g,Beverages,1,825.56,825.56
ITEM000025,ORD000008,PROD00002,Purepet Pet Food 1kg,Pet Care,1,51.21,51.21
ITEM000026,ORD000008,PROD00244,Nescafe Organic Health Drinks 10pcs,Beverages,1,6.58,6.58
ITEM000027,ORD000008,PROD00291,Britannia Fresh Pastries 100g,Bakery & Bread,1,97.11,97.11
ITEM000028,ORD000008,PROD00692,Nestle Premium Baby Wipes 12pcs,Baby Care,1,52.51,52.51
ITEM000029,ORD000008,PROD00670,Harvest Gold Bread 5kg,Bakery & Bread,1,75.26,75.26
ITEM000030,ORD000009,PROD00138,Nestle Fresh Chocolates 5pcs,Snacks & Munchies,1,1702.97,1702.97
ITEM000031,ORD000009,PROD00163,Britannia Bread 2kg,Bakery & Bread,1,146.16,146.16
ITEM000032,ORD000010,PROD00979,English Oven Organic Bread 100g,Bakery & Bread,1,129.52,129.52
ITEM000033,ORD000010,PROD00486,Milky Mist Fresh Butter 100g,Dairy & Eggs,1,232.97,232.97
